label,area,peri,verts,circularity,solidity
CUBE,9067.0,379.3137083053589,4,0.7919110503848736,0.9938616683108626
PENTAGON,8943.5,365.9827550649643,6,0.8390660150772136,0.9943851456526573
PENTAGON,9209.5,370.811182141304,6,0.8416669459283317,0.9928309616213885
CUBE,9784.5,393.0710676908493,4,0.7958044160523673,0.9998467198038014
CUBE,9811.5,396.72792184352875,4,0.7833570161211345,0.9964960390006093
CLOVER,9121.5,421.2964633703232,10,0.6458036565838162,0.9574870099196977
CLOVER,9176.5,437.63960921764374,10,0.6020792913827216,0.962755075276714
CLOVER,9168.5,441.63960921764374,11,0.5907070028926137,0.9632801008615255
CLOVER,9173.5,405.92387998104095,9,0.6996095468355519,0.9649713354020933
SPHERE,8111.0,342.5096664428711,7,0.8688375849726726,0.9948485220164357
CUBE,9705.5,394.72792184352875,4,0.7827662309933081,0.9957933617195917
CUBE,9558.5,389.899494767189,4,0.7901221988179591,0.9982246357892538
CLOVER,9093.0,447.0538227558136,11,0.5717384886986651,0.9623749801555802
SPHERE,8027.0,337.9655101299286,8,0.8831172392752712,0.9935635598465157
SPHERE,8607.5,346.3502861261368,8,0.9016869700645286,0.9942820838627701
CUBE,11045.0,414.97056245803833,4,0.8060110676984951,0.9993666304741223
PENTAGON,9902.5,387.92387998104095,5,0.8269165523870308,0.9915886446703049
PENTAGON,8748.0,374.71067690849304,6,0.7829364322721167,0.9739478957915831
CLOVER,9267.0,406.16652059555054,9,0.7058960989316566,0.9649606914145884
CLOVER,8713.0,401.9655101299286,7,0.6776415018054842,0.9460882784081655
PENTAGON,9225.5,370.61017167568207,6,0.8440440405399511,0.9945558430357913
PENTAGON,8559.5,361.92387998104095,6,0.8211524294123299,0.991715907774302
PENTAGON,8481.0,361.3380935192108,6,0.8162617192635271,0.9896726763521793
CUBE,10046.0,400.97056245803833,4,0.785195963527613,0.9938662445587654
CUBE,10031.0,401.3137083053589,4,0.7826833671417458,0.99578100957959
SPHERE,7755.0,427.6812393665314,8,0.5327841130985128,0.9223358705994291
SPHERE,8202.5,342.20815074443817,7,0.8801879208753738,0.9926181400133115
CLOVER,9806.5,432.7766922712326,7,0.6579549675329925,0.9348872682206015
PENTAGON,9779.0,384.6518018245697,5,0.8305557091323568,0.9921371683660528
CLOVER,10693.0,429.76449966430664,5,0.7275257253957131,0.9586265632704289
SPHERE,7895.0,343.1959581375122,6,0.8423210798388876,0.9919587887925618
PENTAGON,9562.5,377.1543279886246,6,0.8447790218882152,0.997912861987999
CUBE,10109.0,399.3137083053589,4,0.7966904683976921,0.9965005668096013
CLOVER,8872.5,398.7523070573807,7,0.7012121854281348,0.9545968045618376
SPHERE,8633.0,348.6518018245697,7,0.8924579796062625,0.9959621596677434
SPHERE,8634.0,349.82337474823,7,0.8865929184817165,0.9952737752161384
SPHERE,8540.0,347.13708305358887,7,0.8905651888385065,0.9944687045123727
CUBE,10485.0,408.1421353816986,4,0.7909616627240822,0.9956792175110394
CLOVER,9511.0,408.5096664428711,4,0.7161951415331336,0.9664177208758827
CLOVER,9824.5,458.14927566051483,11,0.5881746631764923,0.924919977405385
PENTAGON,9266.0,372.99494767189026,5,0.8369437325287357,0.9953273537783984
